SERIE,GENERO,RANGO_EDAD,RANGO_SALARIAL,CATEGORIA,SEGMENTO_GRUPO_FAMILIAR,SEGMENTO_POBLACIONAL,PIRAMIDE_NUEVA,EMPRESA_FOCO,CIUDAD_AFILIADO,HOTELES,PISCILAGO,DROGUERIA,AGENCIAS,VIVIENDA
224003,F,46 a 55 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
224053,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,PI,BETA,EMP_000001,,NO,NO,NO,NO,NO
224103,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,THETA,TAU,OMICRON,EMP_000001,,NO,NO,NO,NO,NO
224153,M,36 a 45 años,Entre 1 y 1.5 SMLV,PI,RHO,TAU,LAMBDA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
224203,F,Mayor de 55 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,PI,XI,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
224253,M,20 a 35 años,Entre 8 y 10 SMLV,ZETA,LAMBDA,ETA,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
224303,M,36 a 45 años,Menor al SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
224353,M,36 a 45 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
224403,M,Mayor de 55 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,PI,ETA,EMP_000001,,NO,NO,NO,NO,NO
224453,F,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,NO,NO,NO
224503,F,36 a 45 años,Menor al SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
224553,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,DELTA,EMP_000001,,NO,NO,NO,NO,NO
224603,M,Mayor de 55 años,Entre 1 y 1.5 SMLV,SIGMA,IOTA,TAU,UPSILON,EMP_000001,,NO,NO,NO,NO,NO
224653,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,CHI,PI,XI,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
224703,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,BETA,EMP_000001,CALI,NO,NO,NO,NO,NO
224753,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
224803,M,20 a 35 años,Menor al SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
224853,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,NO,NO,NO
224903,M,20 a 35 años,Menor al SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
224953,F,46 a 55 años,Entre 1 y 1.5 SMLV,SIGMA,CHI,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
225003,M,Mayor de 55 años,Entre 1 y 1.5 SMLV,SIGMA,IOTA,TAU,KAPPA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
225053,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
225103,F,46 a 55 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,FUNZA,NO,NO,NO,NO,NO
225153,F,46 a 55 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,GIRARDOT,NO,NO,NO,NO,NO
225203,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,BETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
225253,M,20 a 35 años,Menor al SMLV,PI,RHO,PI,ETA,EMP_000001,,NO,NO,NO,NO,NO
225303,F,46 a 55 años,Entre 1 y 1.5 SMLV,SIGMA,IOTA,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
225353,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
225403,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
225453,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,NO,NO,NO
225503,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
225553,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,OMEGA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
225603,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,NO,NO,NO
225653,F,46 a 55 años,Entre 1 y 1.5 SMLV,PI,RHO,TAU,LAMBDA,EMP_000001,FUNZA,NO,NO,NO,NO,NO
225703,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,BETA,EMP_000001,,NO,NO,NO,NO,NO
225753,F,46 a 55 años,Menor al SMLV,SIGMA,IOTA,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
225803,F,20 a 35 años,Entre 3 y 4 SMLV,PI,RHO,PI,XI,EMP_000002,,NO,NO,NO,NO,NO
225853,M,36 a 45 años,Menor al SMLV,SIGMA,EPSILON,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
225903,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
225953,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,NO,NO,NO
226003,M,20 a 35 años,Menor al SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
226053,M,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,DELTA,EMP_000001,FUSAGASUGA,NO,NO,NO,NO,NO
226103,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,NO,NO,NO
226153,F,46 a 55 años,Entre 8 y 10 SMLV,ZETA,LAMBDA,PI,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
226203,F,Mayor de 55 años,Menor al SMLV,SIGMA,LAMBDA,TAU,KAPPA,EMP_000001,,NO,NO,NO,NO,NO
226253,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
226303,M,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,NO,NO,NO
226353,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,UPSILON,EMP_000001,,NO,NO,NO,NO,NO
226403,M,Mayor de 55 años,Entre 1.5 y 2 SMLV,SIGMA,RHO,PI,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
226453,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,NO,NO,NO
226503,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
226553,F,20 a 35 años,Menor al SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
226603,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,SOACHA,NO,NO,NO,NO,NO
226653,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
226703,M,20 a 35 años,Menor al SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
226753,M,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,NO,NO,NO
226803,M,Mayor de 55 años,Entre 6 y 8 SMLV,ZETA,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,NO,NO,NO
226853,M,36 a 45 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,PI,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
226903,M,46 a 55 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
226953,F,20 a 35 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,NO,NO,NO
227003,M,46 a 55 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,OMEGA,EMP_000001,GIRARDOT,NO,NO,NO,NO,NO
227053,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,NO,NO,NO
227103,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,DELTA,EMP_000001,ZIPAQUIRA,NO,NO,NO,NO,NO
227153,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,BETA,EMP_000001,,NO,NO,NO,NO,NO
227203,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,BETA,EMP_000001,,NO,NO,NO,NO,NO
227253,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
227303,M,36 a 45 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,NO,NO,NO
227353,M,Mayor de 55 años,Entre 1 y 1.5 SMLV,SIGMA,IOTA,TAU,DELTA,EMP_000001,SOACHA,NO,NO,NO,NO,NO
227403,F,Mayor de 55 años,Entre 1.5 y 2 SMLV,SIGMA,IOTA,PI,KAPPA,EMP_000001,,NO,NO,NO,NO,NO
227453,M,36 a 45 años,Menor al SMLV,SIGMA,LAMBDA,TAU,XI,EMP_000001,,NO,NO,NO,NO,NO
227503,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,NO,NO,NO
227553,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,BETA,EMP_000001,,NO,NO,NO,NO,NO
227603,M,36 a 45 años,Menor al SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
227653,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,NO,NO,NO
227703,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,NO,NO,NO
227753,F,Mayor de 55 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,PI,KAPPA,EMP_000001,,NO,NO,NO,NO,NO
227803,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
227853,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,BETA,EMP_000001,,NO,NO,NO,NO,NO
227903,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,UPSILON,EMP_000001,ZIPAQUIRA,NO,NO,NO,NO,NO
227953,F,46 a 55 años,Entre 3 y 4 SMLV,ZETA,LAMBDA,PI,XI,EMP_000002,CAJICA,NO,NO,NO,NO,NO
228003,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
228053,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
228103,M,46 a 55 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,XI,EMP_000002,,NO,NO,NO,NO,NO
228153,M,Mayor de 55 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
228203,M,20 a 35 años,Menor al SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
228253,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,UPSILON,EMP_000001,,NO,NO,NO,NO,NO
228303,M,Mayor de 55 años,Menor al SMLV,PI,IOTA,PI,OMEGA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
228353,F,36 a 45 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,NO,NO,NO
228403,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,OMEGA,EMP_000001,,NO,NO,NO,NO,NO
228453,M,46 a 55 años,Entre 4 y 6 SMLV,ZETA,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,NO,NO,NO
228503,M,Mayor de 55 años,Entre 1 y 1.5 SMLV,SIGMA,IOTA,TAU,UPSILON,EMP_000001,,NO,NO,NO,NO,NO
228553,M,46 a 55 años,Entre 8 y 10 SMLV,ZETA,LAMBDA,PI,ETA,EMP_000001,,NO,NO,NO,NO,NO
228603,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,THETA,ETA,OMICRON,EMP_000001,,NO,NO,NO,NO,NO
228653,M,Mayor de 55 años,Entre 4 y 6 SMLV,ZETA,EPSILON,PI,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
228703,F,20 a 35 años,,MU,THETA,OMEGA,OMICRON,EMP_000001,,NO,NO,NO,NO,NO
228753,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,BETA,EMP_000001,,NO,NO,NO,NO,NO
228803,F,46 a 55 años,Menor al SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
228853,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,BETA,EMP_000001,,NO,NO,NO,NO,NO
228903,F,Mayor de 55 años,Entre 4 y 6 SMLV,ZETA,IOTA,PI,XI,EMP_000002,TAUSA,NO,NO,NO,NO,NO
228953,F,46 a 55 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
229003,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,XI,EMP_000002,,NO,NO,NO,NO,NO
229053,M,20 a 35 años,Menor al SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
229103,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
229153,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
229203,M,36 a 45 años,Menor al SMLV,SIGMA,EPSILON,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
229253,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
229303,M,20 a 35 años,Entre 1 y 1.5 SMLV,PI,LAMBDA,TAU,LAMBDA,EMP_000001,,NO,NO,NO,NO,NO
229353,M,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,NO,NO,NO
229403,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
229453,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,DELTA,EMP_000001,,NO,NO,NO,NO,NO
229503,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,OMEGA,EMP_000001,,NO,NO,NO,NO,NO
229553,M,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,NO,NO,NO
229603,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
229653,F,Mayor de 55 años,Entre 1 y 1.5 SMLV,SIGMA,IOTA,TAU,KAPPA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
229703,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
229753,M,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,XI,EMP_000001,,NO,NO,NO,NO,NO
229803,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,NO,NO,NO
229853,F,20 a 35 años,Entre 6 y 8 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,NO,NO,NO
229903,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,PI,BETA,EMP_000001,,NO,NO,NO,NO,NO
229953,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,XI,EMP_000002,,NO,NO,NO,NO,NO
230003,M,Menor de 19 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,XI,EMP_000002,,NO,NO,NO,NO,NO
230053,F,20 a 35 años,Menor al SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
230103,M,20 a 35 años,Entre 1.5 y 2 SMLV,PI,LAMBDA,ETA,OMEGA,EMP_000001,,NO,NO,NO,NO,NO
230153,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,XI,EMP_000002,,NO,NO,NO,NO,NO
230203,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,NO,NO,NO
230253,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,ETA,EMP_000001,SOACHA,NO,NO,NO,NO,NO
230303,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,NO,NO,NO
230353,M,Mayor de 55 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,KAPPA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
230403,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,UPSILON,EMP_000001,,NO,NO,NO,NO,NO
230453,M,46 a 55 años,Entre 10 y 20 SMLV,ZETA,IOTA,PI,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
230503,M,36 a 45 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
230553,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,THETA,ETA,UPSILON,EMP_000001,,NO,NO,NO,NO,NO
230603,M,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,NO,NO,NO
230653,F,36 a 45 años,Menor al SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
230703,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,BETA,EMP_000001,,NO,NO,NO,NO,NO
230753,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
230803,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
230853,F,Mayor de 55 años,Entre 3 y 4 SMLV,SIGMA,LAMBDA,PI,KAPPA,EMP_000001,,NO,NO,NO,NO,NO
230903,F,Mayor de 55 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
230953,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,DELTA,EMP_000001,,NO,NO,NO,NO,NO
231003,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,NO,NO,NO
231053,F,46 a 55 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
231103,F,Mayor de 55 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
231153,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,FUNZA,NO,NO,NO,NO,NO
231203,M,20 a 35 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,NO,NO,NO
231253,F,46 a 55 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
231303,F,Mayor de 55 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,PI,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
231353,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,BETA,EMP_000001,,NO,NO,NO,NO,NO
231403,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,XI,EMP_000002,,NO,NO,NO,NO,NO
231453,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
231503,F,46 a 55 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,PI,ETA,EMP_000001,,NO,NO,NO,NO,NO
231553,M,20 a 35 años,Menor al SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
231603,M,46 a 55 años,Entre 10 y 20 SMLV,ZETA,LAMBDA,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
231653,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
231703,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
231753,M,Mayor de 55 años,Entre 20 y 30 SMLV,ZETA,IOTA,XI,XI,EMP_000002,,NO,NO,NO,NO,NO
231803,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,IOTA,PI,DELTA,EMP_000001,,NO,NO,NO,NO,NO
231853,F,46 a 55 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,DELTA,EMP_000001,,NO,NO,NO,NO,NO
231903,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,UPSILON,EMP_000002,BOGOTA D.C.,NO,NO,NO,NO,NO
231953,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
232003,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
232053,M,Mayor de 55 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,MOSQUERA,NO,NO,NO,NO,NO
232103,F,46 a 55 años,Entre 3 y 4 SMLV,PI,LAMBDA,PI,XI,EMP_000002,CAJICA,NO,NO,NO,NO,NO
232153,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,CHI,TAU,OMEGA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
232203,F,Mayor de 55 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,KAPPA,EMP_000001,CHIA,NO,NO,NO,NO,NO
232253,F,46 a 55 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,PI,XI,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
232303,F,46 a 55 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
232353,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
232403,F,36 a 45 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,PI,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
232453,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,NO,NO,NO
232503,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,CHI,PI,ETA,EMP_000001,,NO,NO,NO,NO,NO
232553,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,OMEGA,EMP_000001,,NO,NO,NO,NO,NO
232603,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,XI,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
232653,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,NO,NO,NO
232703,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,MADRID,NO,NO,NO,NO,NO
232753,M,Menor de 19 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000002,,NO,NO,NO,NO,NO
232803,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,UPSILON,EMP_000001,,NO,NO,NO,NO,NO
232853,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
232903,F,46 a 55 años,Menor al SMLV,SIGMA,LAMBDA,TAU,DELTA,EMP_000001,,NO,NO,NO,NO,NO
232953,M,36 a 45 años,Entre 1 y 1.5 SMLV,PI,LAMBDA,TAU,LAMBDA,EMP_000001,BOGOTA D.C.,NO,NO,NO,NO,NO
233003,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,DELTA,EMP_000001,,NO,NO,NO,NO,NO
233053,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,BETA,EMP_000001,,NO,NO,NO,NO,NO
